experiment_key,Accuracy,Precision,Recall,F1_Score
SKAB_seed_2026_fold_3_Automata_unseen,0.6382411725516323,0.32558139534883723,0.017510944340212633,0.03323442136498516
SKAB_seed_2026_fold_4_LSTM_original,0.6392032593933906,0.6123595505617978,0.06670746634026928,0.12030905077262694
SKAB_seed_2026_fold_4_GRU_original,0.6797193300135808,0.8762886597938144,0.15605875152998777,0.2649350649350649
SKAB_seed_2026_fold_4_CNN1D_original,0.6274332277048438,0.375,0.011015911872705019,0.02140309155766944
SKAB_seed_2026_fold_4_Automata_original,0.6323762152385259,0.325,0.016270337922403004,0.03098927294398093
SKAB_seed_2026_fold_4_LSTM_noisy,0.6389769126301494,0.5802469135802469,0.08629130966952264,0.1502397442727757
SKAB_seed_2026_fold_4_GRU_noisy,0.6385242191036669,0.5703422053231939,0.09179926560587515,0.158144438587243
SKAB_seed_2026_fold_4_CNN1D_noisy,0.5964237211407877,0.4434320425208808,0.3574051407588739,0.39579803456455437
SKAB_seed_2026_fold_4_Automata_noisy,0.6368980330092697,0.41304347826086957,0.011889862327909888,0.023114355231143552
SKAB_seed_2026_fold_4_Automata_unseen,0.6323762152385259,0.325,0.016270337922403004,0.03098927294398093
SKAB_seed_2026_fold_5_LSTM_original,0.6468122656077653,0.4536082474226804,0.02763819095477387,0.05210183540556542
SKAB_seed_2026_fold_5_GRU_original,0.643723803220825,0.3230769230769231,0.013190954773869347,0.025347012673506336
SKAB_seed_2026_fold_5_CNN1D_original,0.499889697771895,0.2556118754525706,0.22173366834170855,0.23747056844937772
SKAB_seed_2026_fold_5_Automata_original,0.6346408109299251,0.2838983050847458,0.043059125964010285,0.07477678571428571
SKAB_seed_2026_fold_5_LSTM_noisy,0.6243106110743437,0.27710843373493976,0.04334170854271357,0.07495926127104835
SKAB_seed_2026_fold_5_GRU_noisy,0.6201191264063534,0.288961038961039,0.055904522613065326,0.09368421052631579
SKAB_seed_2026_fold_5_CNN1D_noisy,0.5409221266269578,0.17181208053691274,0.08040201005025126,0.10954214805305948
SKAB_seed_2026_fold_5_Automata_noisy,0.5996033494931688,0.2814070351758794,0.10796915167095116,0.15606130980027869
SKAB_seed_2026_fold_5_Automata_unseen,0.6346408109299251,0.2838983050847458,0.043059125964010285,0.07477678571428571
SKAB_seed_7_fold_1_LSTM_original,0.6565498772595403,0.5868263473053892,0.0625,0.11296829971181556
SKAB_seed_7_fold_1_GRU_original,0.6583351930372685,0.6010928961748634,0.07015306122448979,0.125642490005711
