Dataset,Seed,Scenario,Model,Training_Time_sec,Inference_Time_sec,Fold
SKAB,999,noisy,Automata,0.0171,0.1402,5.0
SKAB,999,unseen,Automata,0.0171,0.0257,5.0
BATADAL,42,original,LSTM,15.1048,0.1077,
BATADAL,42,original,GRU,20.9992,0.1085,
BATADAL,42,original,CNN1D,13.2849,0.0789,
BATADAL,42,original,Automata,0.003,0.0067,
BATADAL,42,noisy,LSTM,30.5676,0.1053,
BATADAL,42,noisy,GRU,26.6523,0.0986,
BATADAL,42,noisy,CNN1D,8.6431,0.0757,
BATADAL,42,noisy,Automata,0.0031,0.0039,
BATADAL,42,unseen,Automata,0.0033,0.0036,
BATADAL,123,original,LSTM,21.9545,0.0958,
BATADAL,123,original,GRU,21.2878,0.1019,
BATADAL,123,original,CNN1D,10.6895,0.1061,
BATADAL,123,original,Automata,0.003,0.0082,
BATADAL,123,noisy,LSTM,29.8336,0.0999,
BATADAL,123,noisy,GRU,33.9971,0.0983,
BATADAL,123,noisy,CNN1D,13.0427,0.1076,
BATADAL,123,noisy,Automata,0.003,0.0044,
BATADAL,123,unseen,Automata,0.0031,0.0035,
BATADAL,2026,original,LSTM,24.0035,0.1029,
BATADAL,2026,original,GRU,25.5062,0.1119,
BATADAL,2026,original,CNN1D,13.6527,0.0825,
BATADAL,2026,original,Automata,0.0031,0.0034,
BATADAL,2026,noisy,LSTM,23.0153,0.0973,
BATADAL,2026,noisy,GRU,30.5411,0.1014,
BATADAL,2026,noisy,CNN1D,15.0179,0.0819,
BATADAL,2026,noisy,Automata,0.0031,0.0035,
BATADAL,2026,unseen,Automata,0.003,0.004,
BATADAL,7,original,LSTM,25.4615,0.1011,
BATADAL,7,original,GRU,33.4055,0.1097,
BATADAL,7,original,CNN1D,13.7788,0.0745,
BATADAL,7,original,Automata,0.0032,0.0041,
BATADAL,7,noisy,LSTM,27.8799,0.1027,
BATADAL,7,noisy,GRU,32.8104,0.1723,
BATADAL,7,noisy,CNN1D,10.0733,0.102,
BATADAL,7,noisy,Automata,0.0033,0.004,
BATADAL,7,unseen,Automata,0.0035,0.0035,
BATADAL,999,original,LSTM,30.9018,0.1005,
BATADAL,999,original,GRU,34.4498,0.099,
BATADAL,999,original,CNN1D,11.9575,0.0855,
BATADAL,999,original,Automata,0.0039,0.0145,
BATADAL,999,noisy,LSTM,30.01,0.1078,
BATADAL,999,noisy,GRU,25.3746,0.1026,
BATADAL,999,noisy,CNN1D,14.2219,0.0754,
BATADAL,999,noisy,Automata,0.0032,0.0034,
BATADAL,999,unseen,Automata,0.0031,0.0032,
